"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4564","negative-wrong-password","chromium","2026-07-30","failed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","8732","fixture1","chromium","2026-07-25","passed","2026-07-25","","fixtureDemo.spec.ts","",""
"","441","Traversing the test data row 3","chromium","2026-07-27","passed","2026-07-27","Data Driven Testing using CSV","DDT\datadrivenusingcsv.spec.ts","",""
"","4623","negative-wrong-username","chromium","2026-07-30","failed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","19515","fixture2","chromium","2026-07-25","passed","2026-07-25","","fixtureDemo.spec.ts","",""
"Valid credentials should log in successfully and land on the dashboard","35037","positive-valid-admin","Microsoft Edge","2026-07-30","passed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","3869","positive-valid-admin","chromium","2026-07-30","failed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","12563","fixture1","chromium","2026-07-25","passed","2026-07-25","","fixtures\fixtureDemo.spec.ts","",""
"Invalid username with valid password should show invalid credentials error","35634","negative-wrong-username","Microsoft Edge","2026-07-30","passed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","1268","negative-empty-password","chromium","2026-07-30","failed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","9806","UI Basics","chromium","2026-07-27","passed","2026-07-27","","UI_Basics\UI_basics.spec.ts","",""
"Missing username and password should show required field validation","36185","negative-empty-credentials","Microsoft Edge","2026-07-30","passed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"Valid username with missing password should show required password validation","12556","negative-empty-password","Microsoft Edge","2026-07-30","passed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"Valid username with invalid password should show invalid credentials error","32191","negative-wrong-password","Microsoft Edge","2026-07-30","passed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","12168","browser commands","chromium","2026-07-27","passed","2026-07-27","","UI_Basics\browserCommands.spec.ts","",""
"","4193","negative-empty-credentials","chromium","2026-07-30","failed","2026-07-30","OrangeHRM Login - Data Driven POM","OrangeHRM.spec.ts","",""
"","15610","fixture2","chromium","2026-07-25","passed","2026-07-25","","fixtures\fixtureDemo.spec.ts","",""
"","1153","Traversing the test data row 1","chromium","2026-07-27","passed","2026-07-27","Data Driven Testing using CSV","DDT\datadrivenusingcsv.spec.ts","",""
"","28209","basic elements","chromium","2026-07-28","passed","2026-07-28","","UI_Basics\basic_elements.spec.ts","",""
"","899","Traversing the test data row 2","chromium","2026-07-27","passed","2026-07-27","Data Driven Testing using CSV","DDT\datadrivenusingcsv.spec.ts","",""
"","9244","UI Basics","Microsoft Edge","2026-07-27","passed","2026-07-27","","UI_Basics\UI_basics.spec.ts","",""
